"block_id","identifier","name"
1,"maze_move_forward","Step forward"
2,"maze_turn","Turn"
3,"controls_repeat_ext","Repeat N-times"
4,"controls_while","Loop while"
5,"maze_check_goal","Check goal"
6,"maze_check_path","Check path"
7,"maze_check_color","Check color"
8,"controls_if","If-then"
9,"controls_if_else","If-then-else"
10,"logic_operation","Logical operators"
11,"math_number","Number"
12,"start","Program start"
